Entry	Entry name	Protein names	Gene names
Q13418	ILK_HUMAN	Integrin-linked protein kinase (EC 2.7.11.1) (59 kDa serine/threonine-protein kinase) (ILK-1) (ILK-2) (p59ILK)	ILK ILK1 ILK2
O43283	M3K13_HUMAN	Mitogen-activated protein kinase kinase kinase 13 (EC 2.7.11.25) (Leucine zipper-bearing kinase) (Mixed lineage kinase) (MLK)	MAP3K13 LZK
O43318	M3K7_HUMAN	Mitogen-activated protein kinase kinase kinase 7 (EC 2.7.11.25) (Transforming growth factor-beta-activated kinase 1) (TGF-beta-activated kinase 1)	MAP3K7 TAK1
O43353	RIPK2_HUMAN	Receptor-interacting serine/threonine-protein kinase 2 (EC 2.7.11.1) (CARD-containing interleukin-1 beta-converting enzyme-associated kinase) (CARD-containing IL-1 beta ICE-kinase) (RIP-like-interacting CLARP kinase) (Receptor-interacting protein 2) (RIP-2) (Tyrosine-protein kinase RIPK2) (EC 2.7.10.2)	RIPK2 CARDIAK RICK RIP2 UNQ277/PRO314/PRO34092
Q8NFD2	ANKK1_HUMAN	Ankyrin repeat and protein kinase domain-containing protein 1 (EC 2.7.11.1) (Protein kinase PKK2) (Sugen kinase 288) (SgK288) (X-kinase)	ANKK1 PKK2 SGK288
P57078	RIPK4_HUMAN	Receptor-interacting serine/threonine-protein kinase 4 (EC 2.7.11.1) (Ankyrin repeat domain-containing protein 3) (PKC-delta-interacting protein kinase)	RIPK4 ANKRD3 DIK
Q04771	ACVR1_HUMAN	Activin receptor type-1 (EC 2.7.11.30) (Activin receptor type I) (ACTR-I) (Activin receptor-like kinase 2) (ALK-2) (Serine/threonine-protein kinase receptor R1) (SKR1) (TGF-B superfamily receptor type I) (TSR-I)	ACVR1 ACVRLK2
Q9UM73	ALK_HUMAN	ALK tyrosine kinase receptor (EC 2.7.10.1) (Anaplastic lymphoma kinase) (CD antigen CD246)	ALK
P36894	BMR1A_HUMAN	Bone morphogenetic protein receptor type-1A (BMP type-1A receptor) (BMPR-1A) (EC 2.7.11.30) (Activin receptor-like kinase 3) (ALK-3) (Serine/threonine-protein kinase receptor R5) (SKR5) (CD antigen CD292)	BMPR1A ACVRLK3 ALK3
P36896	ACV1B_HUMAN	Activin receptor type-1B (EC 2.7.11.30) (Activin receptor type IB) (ACTR-IB) (Activin receptor-like kinase 4) (ALK-4) (Serine/threonine-protein kinase receptor R2) (SKR2)	ACVR1B ACVRLK4 ALK4
P37023	ACVL1_HUMAN	Serine/threonine-protein kinase receptor R3 (SKR3) (EC 2.7.11.30) (Activin receptor-like kinase 1) (ALK-1) (TGF-B superfamily receptor type I) (TSR-I)	ACVRL1 ACVRLK1 ALK1
O00238	BMR1B_HUMAN	Bone morphogenetic protein receptor type-1B (BMP type-1B receptor) (BMPR-1B) (EC 2.7.11.30) (CD antigen CDw293)	BMPR1B
Q13705	AVR2B_HUMAN	Activin receptor type-2B (EC 2.7.11.30) (Activin receptor type IIB) (ACTR-IIB)	ACVR2B
Q13873	BMPR2_HUMAN	Bone morphogenetic protein receptor type-2 (BMP type-2 receptor) (BMPR-2) (EC 2.7.11.30) (Bone morphogenetic protein receptor type II) (BMP type II receptor) (BMPR-II)	BMPR2 PPH1
P27037	AVR2A_HUMAN	Activin receptor type-2A (EC 2.7.11.30) (Activin receptor type IIA) (ACTR-IIA) (ACTRIIA)	ACVR2A ACVR2
P49759	CLK1_HUMAN	Dual specificity protein kinase CLK1 (EC 2.7.12.1) (CDC-like kinase 1)	CLK1 CLK
P49760	CLK2_HUMAN	Dual specificity protein kinase CLK2 (EC 2.7.12.1) (CDC-like kinase 2)	CLK2
P49761	CLK3_HUMAN	Dual specificity protein kinase CLK3 (EC 2.7.12.1) (CDC-like kinase 3)	CLK3
Q9HAZ1	CLK4_HUMAN	Dual specificity protein kinase CLK4 (EC 2.7.12.1) (CDC-like kinase 4)	CLK4
Q13627	DYR1A_HUMAN	Dual specificity tyrosine-phosphorylation-regulated kinase 1A (EC 2.7.12.1) (Dual specificity YAK1-related kinase) (HP86) (Protein kinase minibrain homolog) (MNBH) (hMNB)	DYRK1A DYRK MNB MNBH
Q9Y463	DYR1B_HUMAN	Dual specificity tyrosine-phosphorylation-regulated kinase 1B (EC 2.7.12.1) (Minibrain-related kinase) (Mirk protein kinase)	DYRK1B MIRK
Q92630	DYRK2_HUMAN	Dual specificity tyrosine-phosphorylation-regulated kinase 2 (EC 2.7.12.1)	DYRK2
O43781	DYRK3_HUMAN	Dual specificity tyrosine-phosphorylation-regulated kinase 3 (EC 2.7.12.1) (Regulatory erythroid kinase) (REDK)	DYRK3
Q9H2X6	HIPK2_HUMAN	Homeodomain-interacting protein kinase 2 (hHIPk2) (EC 2.7.11.1)	HIPK2
Q9H422	HIPK3_HUMAN	Homeodomain-interacting protein kinase 3 (EC 2.7.11.1) (Androgen receptor-interacting nuclear protein kinase) (ANPK) (Fas-interacting serine/threonine-protein kinase) (FIST) (Homolog of protein kinase YAK1)	HIPK3 DYRK6 FIST3 PKY
P33981	TTK_HUMAN	Dual specificity protein kinase TTK (EC 2.7.12.1) (Phosphotyrosine picked threonine-protein kinase) (PYT)	TTK MPS1 MPS1L1
Q99640	PMYT1_HUMAN	Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase (EC 2.7.11.1) (Myt1 kinase)	PKMYT1 MYT1
P52564	MP2K6_HUMAN	Dual specificity mitogen-activated protein kinase kinase 6 (MAP kinase kinase 6) (MAPKK 6) (EC 2.7.12.2) (MAPK/ERK kinase 6) (MEK 6) (Stress-activated protein kinase kinase 3) (SAPK kinase 3) (SAPKK-3) (SAPKK3)	MAP2K6 MEK6 MKK6 PRKMK6 SKK3
Q13163	MP2K5_HUMAN	Dual specificity mitogen-activated protein kinase kinase 5 (MAP kinase kinase 5) (MAPKK 5) (EC 2.7.12.2) (MAPK/ERK kinase 5) (MEK 5)	MAP2K5 MEK5 MKK5 PRKMK5
P46734	MP2K3_HUMAN	Dual specificity mitogen-activated protein kinase kinase 3 (MAP kinase kinase 3) (MAPKK 3) (EC 2.7.12.2) (MAPK/ERK kinase 3) (MEK 3) (Stress-activated protein kinase kinase 2) (SAPK kinase 2) (SAPKK-2) (SAPKK2)	MAP2K3 MEK3 MKK3 PRKMK3 SKK2
P36507	MP2K2_HUMAN	Dual specificity mitogen-activated protein kinase kinase 2 (MAP kinase kinase 2) (MAPKK 2) (EC 2.7.12.2) (ERK activator kinase 2) (MAPK/ERK kinase 2) (MEK 2)	MAP2K2 MEK2 MKK2 PRKMK2
P45985	MP2K4_HUMAN	Dual specificity mitogen-activated protein kinase kinase 4 (MAP kinase kinase 4) (MAPKK 4) (EC 2.7.12.2) (JNK-activating kinase 1) (MAPK/ERK kinase 4) (MEK 4) (SAPK/ERK kinase 1) (SEK1) (Stress-activated protein kinase kinase 1) (SAPK kinase 1) (SAPKK-1) (SAPKK1) (c-Jun N-terminal kinase kinase 1) (JNKK)	MAP2K4 JNKK1 MEK4 MKK4 PRKMK4 SEK1 SERK1 SKK1
Q02750	MP2K1_HUMAN	Dual specificity mitogen-activated protein kinase kinase 1 (MAP kinase kinase 1) (MAPKK 1) (MKK1) (EC 2.7.12.2) (ERK activator kinase 1) (MAPK/ERK kinase 1) (MEK 1)	MAP2K1 MEK1 PRKMK1
O14733	MP2K7_HUMAN	Dual specificity mitogen-activated protein kinase kinase 7 (MAP kinase kinase 7) (MAPKK 7) (EC 2.7.12.2) (JNK-activating kinase 2) (MAPK/ERK kinase 7) (MEK 7) (Stress-activated protein kinase kinase 4) (SAPK kinase 4) (SAPKK-4) (SAPKK4) (c-Jun N-terminal kinase kinase 2) (JNK kinase 2) (JNKK 2)	MAP2K7 JNKK2 MEK7 MKK7 PRKMK7 SKK4
P51617	IRAK1_HUMAN	Interleukin-1 receptor-associated kinase 1 (IRAK-1) (EC 2.7.11.1)	IRAK1 IRAK
Q9NWZ3	IRAK4_HUMAN	Interleukin-1 receptor-associated kinase 4 (IRAK-4) (EC 2.7.11.1) (Renal carcinoma antigen NY-REN-64)	IRAK4
Q15569	TESK1_HUMAN	Dual specificity testis-specific protein kinase 1 (EC 2.7.12.1) (Testicular protein kinase 1)	TESK1
Q16584	M3K11_HUMAN	Mitogen-activated protein kinase kinase kinase 11 (EC 2.7.11.25) (Mixed lineage kinase 3) (Src-homology 3 domain-containing proline-rich kinase)	MAP3K11 MLK3 PTK1 SPRK
Q02779	M3K10_HUMAN	Mitogen-activated protein kinase kinase kinase 10 (EC 2.7.11.25) (Mixed lineage kinase 2) (Protein kinase MST)	MAP3K10 MLK2 MST
P80192	M3K9_HUMAN	Mitogen-activated protein kinase kinase kinase 9 (EC 2.7.11.25) (Mixed lineage kinase 1)	MAP3K9 MLK1 PRKE1
Q9NYL2	MLTK_HUMAN	Mitogen-activated protein kinase kinase kinase MLT (EC 2.7.11.25) (Human cervical cancer suppressor gene 4 protein) (HCCS-4) (Leucine zipper- and sterile alpha motif-containing kinase) (MLK-like mitogen-activated protein triple kinase) (Mixed lineage kinase-related kinase) (MLK-related kinase) (MRK) (Sterile alpha motif- and leucine zipper-containing kinase AZK)	ZAK MLTK HCCS4
P04049	RAF1_HUMAN	RAF proto-oncogene serine/threonine-protein kinase (EC 2.7.11.1) (Proto-oncogene c-RAF) (cRaf) (Raf-1)	RAF1 RAF
P15056	BRAF_HUMAN	Serine/threonine-protein kinase B-raf (EC 2.7.11.1) (Proto-oncogene B-Raf) (p94) (v-Raf murine sarcoma viral oncogene homolog B1)	BRAF BRAF1 RAFB1
P36897	TGFR1_HUMAN	TGF-beta receptor type-1 (TGFR-1) (EC 2.7.11.30) (Activin A receptor type II-like protein kinase of 53kD) (Activin receptor-like kinase 5) (ALK-5) (ALK5) (Serine/threonine-protein kinase receptor R4) (SKR4) (TGF-beta type I receptor) (Transforming growth factor-beta receptor type I) (TGF-beta receptor type I) (TbetaR-I)	TGFBR1 ALK5 SKR4
P37173	TGFR2_HUMAN	TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II) (TGF-beta receptor type II) (TbetaR-II)	TGFBR2
P00519	ABL1_HUMAN	Tyrosine-protein kinase ABL1 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 1) (Abelson tyrosine-protein kinase 1) (Proto-oncogene c-Abl) (p150)	ABL1 ABL JTK7
P42684	ABL2_HUMAN	Abelson tyrosine-protein kinase 2 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 2) (Abelson-related gene protein) (Tyrosine-protein kinase ARG)	ABL2 ABLL ARG
Q07912	ACK1_HUMAN	Activated CDC42 kinase 1 (ACK-1) (EC 2.7.10.2) (EC 2.7.11.1) (Tyrosine kinase non-receptor protein 2)	TNK2 ACK1
Q13470	TNK1_HUMAN	Non-receptor tyrosine-protein kinase TNK1 (EC 2.7.10.2) (CD38 negative kinase 1)	TNK1
P29376	LTK_HUMAN	Leukocyte tyrosine kinase receptor (EC 2.7.10.1) (Protein tyrosine kinase 1)	LTK TYK1
P30530	UFO_HUMAN	Tyrosine-protein kinase receptor UFO (EC 2.7.10.1) (AXL oncogene)	AXL UFO
Q06418	TYRO3_HUMAN	Tyrosine-protein kinase receptor TYRO3 (EC 2.7.10.1) (Tyrosine-protein kinase BYK) (Tyrosine-protein kinase DTK) (Tyrosine-protein kinase RSE) (Tyrosine-protein kinase SKY) (Tyrosine-protein kinase TIF)	TYRO3 BYK DTK RSE SKY TIF
Q12866	MERTK_HUMAN	Tyrosine-protein kinase Mer (EC 2.7.10.1) (Proto-oncogene c-Mer) (Receptor tyrosine kinase MerTK)	MERTK MER
P41240	CSK_HUMAN	Tyrosine-protein kinase CSK (EC 2.7.10.2) (C-Src kinase) (Protein-tyrosine kinase CYL)	CSK
P42679	MATK_HUMAN	Megakaryocyte-associated tyrosine-protein kinase (EC 2.7.10.2) (CSK homologous kinase) (CHK) (Hematopoietic consensus tyrosine-lacking kinase) (Protein kinase HYL) (Tyrosine-protein kinase CTK)	MATK CTK HYL
Q08345	DDR1_HUMAN	Epithelial discoidin domain-containing receptor 1 (Epithelial discoidin domain receptor 1) (EC 2.7.10.1) (CD167 antigen-like family member A) (Cell adhesion kinase) (Discoidin receptor tyrosine kinase) (HGK2) (Mammary carcinoma kinase 10) (MCK-10) (Protein-tyrosine kinase 3A) (Protein-tyrosine kinase RTK-6) (TRK E) (Tyrosine kinase DDR) (Tyrosine-protein kinase CAK) (CD antigen CD167a)	DDR1 CAK EDDR1 NEP NTRK4 PTK3A RTK6 TRKE
Q16832	DDR2_HUMAN	Discoidin domain-containing receptor 2 (Discoidin domain receptor 2) (EC 2.7.10.1) (CD167 antigen-like family member B) (Discoidin domain-containing receptor tyrosine kinase 2) (Neurotrophic tyrosine kinase, receptor-related 3) (Receptor protein-tyrosine kinase TKT) (Tyrosine-protein kinase TYRO10) (CD antigen CD167b)	DDR2 NTRKR3 TKT TYRO10
P00533	EGFR_HUMAN	Epidermal growth factor receptor (EC 2.7.10.1) (Proto-oncogene c-ErbB-1) (Receptor tyrosine-protein kinase erbB-1)	EGFR ERBB ERBB1 HER1
P04626	ERBB2_HUMAN	Receptor tyrosine-protein kinase erbB-2 (EC 2.7.10.1) (Metastatic lymph node gene 19 protein) (MLN 19) (Proto-oncogene Neu) (Proto-oncogene c-ErbB-2) (Tyrosine kinase-type cell surface receptor HER2) (p185erbB2) (CD antigen CD340)	ERBB2 HER2 MLN19 NEU NGL
Q15303	ERBB4_HUMAN	Receptor tyrosine-protein kinase erbB-4 (EC 2.7.10.1) (Proto-oncogene-like protein c-ErbB-4) (Tyrosine kinase-type cell surface receptor HER4) (p180erbB4) [Cleaved into: ERBB4 intracellular domain (4ICD) (E4ICD) (s80HER4)]	ERBB4 HER4
P21860	ERBB3_HUMAN	Receptor tyrosine-protein kinase erbB-3 (EC 2.7.10.1) (Proto-oncogene-like protein c-ErbB-3) (Tyrosine kinase-type cell surface receptor HER3)	ERBB3 HER3
P29323	EPHB2_HUMAN	Ephrin type-B receptor 2 (EC 2.7.10.1) (Developmentally-regulated Eph-related tyrosine kinase) (ELK-related tyrosine kinase) (EPH tyrosine kinase 3) (EPH-like kinase 5) (EK5) (hEK5) (Renal carcinoma antigen NY-REN-47) (Tyrosine-protein kinase TYRO5) (Tyrosine-protein kinase receptor EPH-3)	EPHB2 DRT EPHT3 EPTH3 ERK HEK5 TYRO5
P29317	EPHA2_HUMAN	Ephrin type-A receptor 2 (EC 2.7.10.1) (Epithelial cell kinase) (Tyrosine-protein kinase receptor ECK)	EPHA2 ECK
P29320	EPHA3_HUMAN	Ephrin type-A receptor 3 (EC 2.7.10.1) (EPH-like kinase 4) (EK4) (hEK4) (HEK) (Human embryo kinase) (Tyrosine-protein kinase TYRO4) (Tyrosine-protein kinase receptor ETK1) (Eph-like tyrosine kinase 1)	EPHA3 ETK ETK1 HEK TYRO4
P29322	EPHA8_HUMAN	Ephrin type-A receptor 8 (EC 2.7.10.1) (EPH- and ELK-related kinase) (EPH-like kinase 3) (EK3) (hEK3) (Tyrosine-protein kinase receptor EEK)	EPHA8 EEK HEK3 KIAA1459
P54756	EPHA5_HUMAN	Ephrin type-A receptor 5 (EC 2.7.10.1) (Brain-specific kinase) (EPH homology kinase 1) (EHK-1) (EPH-like kinase 7) (EK7) (hEK7)	EPHA5 BSK EHK1 HEK7 TYRO4
P54762	EPHB1_HUMAN	Ephrin type-B receptor 1 (EC 2.7.10.1) (ELK) (EPH tyrosine kinase 2) (EPH-like kinase 6) (EK6) (hEK6) (Neuronally-expressed EPH-related tyrosine kinase) (NET) (Tyrosine-protein kinase receptor EPH-2)	EPHB1 ELK EPHT2 HEK6 NET
P54764	EPHA4_HUMAN	Ephrin type-A receptor 4 (EC 2.7.10.1) (EPH-like kinase 8) (EK8) (hEK8) (Tyrosine-protein kinase TYRO1) (Tyrosine-protein kinase receptor SEK)	EPHA4 HEK8 SEK TYRO1
Q15375	EPHA7_HUMAN	Ephrin type-A receptor 7 (EC 2.7.10.1) (EPH homology kinase 3) (EHK-3) (EPH-like kinase 11) (EK11) (hEK11)	EPHA7 EHK3 HEK11
Q9UF33	EPHA6_HUMAN	Ephrin type-A receptor 6 (EC 2.7.10.1) (EPH homology kinase 2) (EHK-2) (EPH-like kinase 12) (EK12)	EPHA6 EHK2 HEK12
P54760	EPHB4_HUMAN	Ephrin type-B receptor 4 (EC 2.7.10.1) (Hepatoma transmembrane kinase) (Tyrosine-protein kinase TYRO11)	EPHB4 HTK MYK1 TYRO11
P54753	EPHB3_HUMAN	Ephrin type-B receptor 3 (EC 2.7.10.1) (EPH-like tyrosine kinase 2) (EPH-like kinase 2) (Embryonic kinase 2) (EK2) (hEK2) (Tyrosine-protein kinase TYRO6)	EPHB3 ETK2 HEK2 TYRO6
P21709	EPHA1_HUMAN	Ephrin type-A receptor 1 (hEpha1) (EC 2.7.10.1) (EPH tyrosine kinase) (EPH tyrosine kinase 1) (Erythropoietin-producing hepatoma receptor) (Tyrosine-protein kinase receptor EPH)	EPHA1 EPH EPHT EPHT1
Q05397	FAK1_HUMAN	Focal adhesion kinase 1 (FADK 1) (EC 2.7.10.2) (Focal adhesion kinase-related nonkinase) (FRNK) (Protein phosphatase 1 regulatory subunit 71) (PPP1R71) (Protein-tyrosine kinase 2) (p125FAK) (pp125FAK)	PTK2 FAK FAK1
Q14289	FAK2_HUMAN	Protein-tyrosine kinase 2-beta (EC 2.7.10.2) (Calcium-dependent tyrosine kinase) (CADTK) (Calcium-regulated non-receptor proline-rich tyrosine kinase) (Cell adhesion kinase beta) (CAK-beta) (CAKB) (Focal adhesion kinase 2) (FADK 2) (Proline-rich tyrosine kinase 2) (Related adhesion focal tyrosine kinase) (RAFTK)	PTK2B FAK2 PYK2 RAFTK
P16591	FER_HUMAN	Tyrosine-protein kinase Fer (EC 2.7.10.2) (Feline encephalitis virus-related kinase FER) (Fujinami poultry sarcoma/Feline sarcoma-related protein Fer) (Proto-oncogene c-Fer) (Tyrosine kinase 3) (p94-Fer)	FER TYK3
P07332	FES_HUMAN	Tyrosine-protein kinase Fes/Fps (EC 2.7.10.2) (Feline sarcoma/Fujinami avian sarcoma oncogene homolog) (Proto-oncogene c-Fes) (Proto-oncogene c-Fps) (p93c-fes)	FES FPS
P11362	FGFR1_HUMAN	Fibroblast growth factor receptor 1 (FGFR-1) (EC 2.7.10.1) (Basic fibroblast growth factor receptor 1) (BFGFR) (bFGF-R-1) (Fms-like tyrosine kinase 2) (FLT-2) (N-sam) (Proto-oncogene c-Fgr) (CD antigen CD331)	FGFR1 BFGFR CEK FGFBR FLG FLT2 HBGFR
P22455	FGFR4_HUMAN	Fibroblast growth factor receptor 4 (FGFR-4) (EC 2.7.10.1) (CD antigen CD334)	FGFR4 JTK2 TKF
P22607	FGFR3_HUMAN	Fibroblast growth factor receptor 3 (FGFR-3) (EC 2.7.10.1) (CD antigen CD333)	FGFR3 JTK4
P06213	INSR_HUMAN	Insulin receptor (IR) (EC 2.7.10.1) (CD antigen CD220) [Cleaved into: Insulin receptor subunit alpha; Insulin receptor subunit beta]	INSR
P08069	IGF1R_HUMAN	Insulin-like growth factor 1 receptor (EC 2.7.10.1) (Insulin-like growth factor I receptor) (IGF-I receptor) (CD antigen CD221) [Cleaved into: Insulin-like growth factor 1 receptor alpha chain; Insulin-like growth factor 1 receptor beta chain]	IGF1R
P14616	INSRR_HUMAN	Insulin receptor-related protein (IRR) (EC 2.7.10.1) (IR-related receptor) [Cleaved into: Insulin receptor-related protein alpha chain; Insulin receptor-related protein beta chain]	INSRR IRR
P52333	JAK3_HUMAN	Tyrosine-protein kinase JAK3 (EC 2.7.10.2) (Janus kinase 3) (JAK-3) (Leukocyte janus kinase) (L-JAK)	JAK3
P23458	JAK1_HUMAN	Tyrosine-protein kinase JAK1 (EC 2.7.10.2) (Janus kinase 1) (JAK-1)	JAK1 JAK1A JAK1B
O60674	JAK2_HUMAN	Tyrosine-protein kinase JAK2 (EC 2.7.10.2) (Janus kinase 2) (JAK-2)	JAK2
P29597	TYK2_HUMAN	Non-receptor tyrosine-protein kinase TYK2 (EC 2.7.10.2)	TYK2
Q04912	RON_HUMAN	Macrophage-stimulating protein receptor (MSP receptor) (EC 2.7.10.1) (CDw136) (Protein-tyrosine kinase 8) (p185-Ron) (CD antigen CD136) [Cleaved into: Macrophage-stimulating protein receptor alpha chain; Macrophage-stimulating protein receptor beta chain]	MST1R PTK8 RON
P08581	MET_HUMAN	Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)	MET
O15146	MUSK_HUMAN	Muscle, skeletal receptor tyrosine-protein kinase (EC 2.7.10.1) (Muscle-specific tyrosine-protein kinase receptor) (MuSK) (Muscle-specific kinase receptor)	MUSK
P09619	PGFRB_HUMAN	Platelet-derived growth factor receptor beta (PDGF-R-beta) (PDGFR-beta) (EC 2.7.10.1) (Beta platelet-derived growth factor receptor) (Beta-type platelet-derived growth factor receptor) (CD140 antigen-like family member B) (Platelet-derived growth factor receptor 1) (PDGFR-1) (CD antigen CD140b)	PDGFRB PDGFR PDGFR1
P10721	KIT_HUMAN	Mast/stem cell growth factor receptor Kit (SCFR) (EC 2.7.10.1) (Piebald trait protein) (PBT) (Proto-oncogene c-Kit) (Tyrosine-protein kinase Kit) (p145 c-kit) (v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog) (CD antigen CD117)	KIT SCFR
P16234	PGFRA_HUMAN	Platelet-derived growth factor receptor alpha (PDGF-R-alpha) (PDGFR-alpha) (EC 2.7.10.1) (Alpha platelet-derived growth factor receptor) (Alpha-type platelet-derived growth factor receptor) (CD140 antigen-like family member A) (CD140a antigen) (Platelet-derived growth factor alpha receptor) (Platelet-derived growth factor receptor 2) (PDGFR-2) (CD antigen CD140a)	PDGFRA PDGFR2 RHEPDGFRA
P36888	FLT3_HUMAN	Receptor-type tyrosine-protein kinase FLT3 (EC 2.7.10.1) (FL cytokine receptor) (Fetal liver kinase-2) (FLK-2) (Fms-like tyrosine kinase 3) (FLT-3) (Stem cell tyrosine kinase 1) (STK-1) (CD antigen CD135)	FLT3 CD135 FLK2 STK1
P07333	CSF1R_HUMAN	Macrophage colony-stimulating factor 1 receptor (CSF-1 receptor) (CSF-1-R) (CSF-1R) (M-CSF-R) (EC 2.7.10.1) (Proto-oncogene c-Fms) (CD antigen CD115)	CSF1R FMS
P07949	RET_HUMAN	Proto-oncogene tyrosine-protein kinase receptor Ret (EC 2.7.10.1) (Cadherin family member 12) (Proto-oncogene c-Ret) [Cleaved into: Soluble RET kinase fragment; Extracellular cell-membrane anchored RET cadherin 120 kDa fragment]	RET CDHF12 CDHR16 PTC RET51
P08922	ROS1_HUMAN	Proto-oncogene tyrosine-protein kinase ROS (EC 2.7.10.1) (Proto-oncogene c-Ros) (Proto-oncogene c-Ros-1) (Receptor tyrosine kinase c-ros oncogene 1) (c-Ros receptor tyrosine kinase)	ROS1 MCF3 ROS
P06239	LCK_HUMAN	Tyrosine-protein kinase Lck (EC 2.7.10.2) (Leukocyte C-terminal Src kinase) (LSK) (Lymphocyte cell-specific protein-tyrosine kinase) (Protein YT16) (Proto-oncogene Lck) (T cell-specific protein-tyrosine kinase) (p56-LCK)	LCK
P12931	SRC_HUMAN	Proto-oncogene tyrosine-protein kinase Src (EC 2.7.10.2) (Proto-oncogene c-Src) (pp60c-src) (p60-Src)	SRC SRC1
P51451	BLK_HUMAN	Tyrosine-protein kinase Blk (EC 2.7.10.2) (B lymphocyte kinase) (p55-Blk)	BLK
P06241	FYN_HUMAN	Tyrosine-protein kinase Fyn (EC 2.7.10.2) (Proto-oncogene Syn) (Proto-oncogene c-Fyn) (Src-like kinase) (SLK) (p59-Fyn)	FYN
P08631	HCK_HUMAN	Tyrosine-protein kinase HCK (EC 2.7.10.2) (Hematopoietic cell kinase) (Hemopoietic cell kinase) (p59-HCK/p60-HCK) (p59Hck) (p61Hck)	HCK
P07948	LYN_HUMAN	Tyrosine-protein kinase Lyn (EC 2.7.10.2) (Lck/Yes-related novel protein tyrosine kinase) (V-yes-1 Yamaguchi sarcoma viral related oncogene homolog) (p53Lyn) (p56Lyn)	LYN JTK8
P07947	YES_HUMAN	Tyrosine-protein kinase Yes (EC 2.7.10.2) (Proto-oncogene c-Yes) (p61-Yes)	YES1 YES
P42685	FRK_HUMAN	Tyrosine-protein kinase FRK (EC 2.7.10.2) (FYN-related kinase) (Nuclear tyrosine protein kinase RAK) (Protein-tyrosine kinase 5)	FRK PTK5 RAK
Q13882	PTK6_HUMAN	Protein-tyrosine kinase 6 (EC 2.7.10.2) (Breast tumor kinase) (Tyrosine-protein kinase BRK)	PTK6 BRK
P09769	FGR_HUMAN	Tyrosine-protein kinase Fgr (EC 2.7.10.2) (Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog) (Proto-oncogene c-Fgr) (p55-Fgr) (p58-Fgr) (p58c-Fgr)	FGR SRC2
Q9H3Y6	SRMS_HUMAN	Tyrosine-protein kinase Srms (EC 2.7.10.2)	SRMS C20orf148
P43405	KSYK_HUMAN	Tyrosine-protein kinase SYK (EC 2.7.10.2) (Spleen tyrosine kinase) (p72-Syk)	SYK
P43403	ZAP70_HUMAN	Tyrosine-protein kinase ZAP-70 (EC 2.7.10.2) (70 kDa zeta-chain associated protein) (Syk-related tyrosine kinase)	ZAP70 SRK
Q08881	ITK_HUMAN	Tyrosine-protein kinase ITK/TSK (EC 2.7.10.2) (Interleukin-2-inducible T-cell kinase) (IL-2-inducible T-cell kinase) (Kinase EMT) (T-cell-specific kinase) (Tyrosine-protein kinase Lyk)	ITK EMT LYK
P51813	BMX_HUMAN	Cytoplasmic tyrosine-protein kinase BMX (EC 2.7.10.2) (Bone marrow tyrosine kinase gene in chromosome X protein) (Epithelial and endothelial tyrosine kinase) (ETK) (NTK38)	BMX
Q06187	BTK_HUMAN	Tyrosine-protein kinase BTK (EC 2.7.10.2) (Agammaglobulinemia tyrosine kinase) (ATK) (B-cell progenitor kinase) (BPK) (Bruton tyrosine kinase)	BTK AGMX1 ATK BPK
P42680	TEC_HUMAN	Tyrosine-protein kinase Tec (EC 2.7.10.2)	TEC PSCTK4
P42681	TXK_HUMAN	Tyrosine-protein kinase TXK (EC 2.7.10.2) (Protein-tyrosine kinase 4) (Resting lymphocyte kinase)	TXK PTK4 RLK
Q02763	TIE2_HUMAN	Angiopoietin-1 receptor (EC 2.7.10.1) (Endothelial tyrosine kinase) (Tunica interna endothelial cell kinase) (Tyrosine kinase with Ig and EGF homology domains-2) (Tyrosine-protein kinase receptor TEK) (Tyrosine-protein kinase receptor TIE-2) (hTIE2) (p140 TEK) (CD antigen CD202b)	TEK TIE2 VMCM VMCM1
P35590	TIE1_HUMAN	Tyrosine-protein kinase receptor Tie-1 (EC 2.7.10.1)	TIE1 TIE
P21802	FGFR2_HUMAN	Fibroblast growth factor receptor 2 (FGFR-2) (EC 2.7.10.1) (K-sam) (KGFR) (Keratinocyte growth factor receptor) (CD antigen CD332)	FGFR2 BEK KGFR KSAM
P04629	NTRK1_HUMAN	High affinity nerve growth factor receptor (EC 2.7.10.1) (Neurotrophic tyrosine kinase receptor type 1) (TRK1-transforming tyrosine kinase protein) (Tropomyosin-related kinase A) (Tyrosine kinase receptor) (Tyrosine kinase receptor A) (Trk-A) (gp140trk) (p140-TrkA)	NTRK1 MTC TRK TRKA
Q16620	NTRK2_HUMAN	BDNF/NT-3 growth factors receptor (EC 2.7.10.1) (GP145-TrkB) (Trk-B) (Neurotrophic tyrosine kinase receptor type 2) (TrkB tyrosine kinase) (Tropomyosin-related kinase B)	NTRK2 TRKB
